,Topic_number,GR_lastGen_run_1,GR_lastGen_run_2,GR_lastGen_run_3,GR_lastGen_run_4,GR_lastGen_run_5,mean
0,1,0.893401015228,0.878172588832,0.893401015228,0.875634517766,0.908629441624,0.8898477157356
1,134,0.975920679887,0.946175637394,0.954674220963,0.971671388102,0.966005665722,0.9628895184136
2,187,0.86150712831,0.883910386965,0.873727087576,0.849287169043,0.896130346232,0.8729124236251999
3,215,0.867924528302,0.867924528302,0.905660377358,0.867924528302,0.896226415094,0.8811320754716
4,221,0.81845416417,0.819652486519,0.815458358298,0.886159376872,0.794487717196,0.826842420611
5,25,0.9875,0.96875,0.9625,0.98125,0.98125,0.9762500000000001
6,259,0.805907172996,0.79746835443,0.818565400844,0.822784810127,0.772151898734,0.8033755274261999
7,289,0.899159663866,0.903361344538,0.865546218487,0.903361344538,0.878151260504,0.8899159663866001
8,350,0.896551724138,0.965517241379,0.948275862069,0.948275862069,0.956896551724,0.9431034482758
9,363,0.875968992248,0.875968992248,0.842377260982,0.84496124031,0.829457364341,0.8537467700258
10,37,0.768488745981,0.630225080386,0.800643086817,0.765273311897,0.768488745981,0.7466237942124001
11,403,0.864946889226,0.885432473445,0.859635811836,0.823216995448,0.855842185129,0.8578148710168
12,418,0.758741258741,0.741258741259,0.671328671329,0.772727272727,0.762237762238,0.7412587412588001
13,428,0.96511627907,0.96511627907,0.96511627907,0.982558139535,0.936046511628,0.9627906976745999
14,465,0.9,0.9,0.925,0.9,0.879166666667,0.9008333333334001
15,476,0.690721649485,0.742268041237,0.628865979381,0.814432989691,0.752577319588,0.7257731958764
16,528,0.886956521739,0.895652173913,0.869565217391,0.913043478261,0.865217391304,0.8860869565216
17,529,0.909356725146,0.856725146199,0.891812865497,0.918128654971,0.894736842105,0.8941520467835999
18,537,0.825136612022,0.857923497268,0.79781420765,0.825136612022,0.83606557377,0.8284153005463999
19,538,0.781335773102,0.806953339433,0.778591033852,0.76120768527,0.79505946935,0.7846294602014
20,556,0.608562691131,0.727828746177,0.709480122324,0.697247706422,0.529051987768,0.6544342507644
21,561,0.822966507177,0.856459330144,0.851674641148,0.822966507177,0.827751196172,0.8363636363635999
22,58,0.688713156003,0.393961179008,0.618979151689,0.675053918045,0.616103522646,0.5985621854782
23,586,0.882596685083,0.842541436464,0.879834254144,0.830110497238,0.85635359116,0.8582872928178
24,99,0.815068493151,0.842465753425,0.876712328767,0.746575342466,0.856164383562,0.8273972602742001
